path_id,is_groups,oos_groups,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_n_obs,oos_n_obs,psr
0,"[0, 1, 2]","[3, 4, 5]",1.2185,1.7493,1.9366,1.8736,622,626,0.9997
1,"[0, 1, 3]","[2, 4, 5]",0.7633,1.7717,1.217,1.9043,612,616,0.9997
2,"[0, 1, 4]","[2, 3, 5]",4.0577,-0.1223,40.1633,-0.109,612,616,0.0
3,"[0, 1, 5]","[2, 3, 4]",-0.133,4.0711,-0.1178,40.7133,621,617,1.0
4,"[0, 2, 3]","[1, 4, 5]",1.042,1.766,1.7127,1.8897,612,616,0.9997
5,"[0, 2, 4]","[1, 3, 5]",4.1068,-0.1307,40.7875,-0.1162,602,606,0.0
6,"[0, 2, 5]","[1, 3, 4]",-0.1273,4.0924,-0.1134,40.8567,611,607,1.0
7,"[0, 3, 4]","[1, 2, 5]",4.0532,-0.1153,40.3121,-0.102,612,616,0.0
8,"[0, 3, 5]","[1, 2, 4]",-0.1405,4.1123,-0.1254,40.6905,611,607,1.0
9,"[0, 4, 5]","[1, 2, 3]",1.7495,1.5604,1.8775,2.5866,621,617,1.0
10,"[1, 2, 3]","[0, 4, 5]",1.5604,1.7495,2.5866,1.8775,617,621,0.9997
11,"[1, 2, 4]","[0, 3, 5]",4.1123,-0.1405,40.6905,-0.1254,607,611,0.0
12,"[1, 2, 5]","[0, 3, 4]",-0.1153,4.0532,-0.102,40.3121,616,612,1.0
13,"[1, 3, 4]","[0, 2, 5]",4.0924,-0.1273,40.8567,-0.1134,607,611,0.0
14,"[1, 3, 5]","[0, 2, 4]",-0.1307,4.1068,-0.1162,40.7875,606,602,1.0
15,"[1, 4, 5]","[0, 2, 3]",1.766,1.042,1.8897,1.7127,616,612,1.0
16,"[2, 3, 4]","[0, 1, 5]",4.0711,-0.133,40.7133,-0.1178,617,621,0.0
17,"[2, 3, 5]","[0, 1, 4]",-0.1223,4.0577,-0.109,40.1633,616,612,1.0
18,"[2, 4, 5]","[0, 1, 3]",1.7717,0.7633,1.9043,1.217,616,612,1.0
19,"[3, 4, 5]","[0, 1, 2]",1.7493,1.2185,1.8736,1.9366,626,622,1.0
