fold_id,is_start,is_end,oos_start,oos_end,oos_sharpe,oos_sortino,oos_max_dd,oos_cagr,oos_calmar,avg_turnover,cost_drag_bps,avg_exposure,masked_pct,seed
1,2019-01-02,2019-06-28,2019-07-01,2019-12-31,1.468,1.9128,-0.03153,0.1538,4.8782,0.01172,44.3,0.5371,100.0,42
2,2019-01-02,2019-12-31,2020-01-02,2020-06-30,-1.2005,-1.3305,-0.08553,-0.0325,-0.3795,0.08402,317.59,0.5229,100.0,42
3,2019-01-02,2020-06-30,2020-07-01,2020-12-31,0.3212,0.3691,-0.04834,0.0692,1.431,0.11718,442.95,0.328,100.0,42
4,2019-01-02,2020-12-31,2021-01-04,2021-06-30,0.7689,1.1169,-0.02646,0.0856,3.2364,0.01213,45.84,0.8375,100.0,42
5,2019-01-02,2021-06-30,2021-07-01,2021-12-31,0.5355,0.8959,-0.03282,0.0783,2.3844,0.01172,44.3,0.3712,100.0,42
6,2019-01-02,2021-12-31,2022-01-03,2022-06-30,-2.7565,-4.3309,-0.07214,-0.1182,-1.6383,0.04842,183.01,0.1588,100.0,42
7,2019-01-02,2022-06-30,2022-07-01,2022-12-30,-0.8723,-1.4032,-0.05552,-0.0038,-0.0677,0.09329,352.65,0.7909,100.0,42
8,2019-01-02,2022-12-30,2023-01-03,2023-06-30,-2.23,-3.2598,-0.06121,-0.0539,-0.8804,0.07258,274.36,0.7785,100.0,42
9,2019-01-02,2023-06-30,2023-07-03,2023-12-29,-1.9743,-3.3287,-0.0499,-0.037,-0.7423,0.16671,630.15,0.2701,100.0,42
1,2019-01-02,2019-06-28,2019-07-01,2019-12-31,0.9506,1.5201,-0.03488,0.0983,2.8179,0.01173,44.33,0.271,100.0,7
2,2019-01-02,2019-12-31,2020-01-02,2020-06-30,-0.9154,-0.9553,-0.08642,-0.0112,-0.1296,0.05998,226.73,0.5703,100.0,7
3,2019-01-02,2020-06-30,2020-07-01,2020-12-31,1.4678,1.5198,-0.06074,0.1836,3.022,0.02344,88.59,0.3123,100.0,7
4,2019-01-02,2020-12-31,2021-01-04,2021-06-30,2.0921,3.0312,-0.02779,0.1992,7.1681,0.0121,45.73,0.1765,100.0,7
5,2019-01-02,2021-06-30,2021-07-01,2021-12-31,0.0343,0.058,-0.03265,0.0538,1.6481,0.01175,44.41,0.2818,100.0,7
6,2019-01-02,2021-12-31,2022-01-03,2022-06-30,-1.5974,-2.18,-0.0749,-0.086,-1.1488,0.02419,91.45,0.8515,100.0,7
7,2019-01-02,2022-06-30,2022-07-01,2022-12-30,-0.6931,-1.2188,-0.06039,0.0075,0.1246,0.09357,353.68,0.1946,100.0,7
8,2019-01-02,2022-12-30,2023-01-03,2023-06-30,-1.2432,-1.6331,-0.06047,-0.0218,-0.3602,0.0484,182.95,0.0041,100.0,7
9,2019-01-02,2023-06-30,2023-07-03,2023-12-29,-0.7457,-1.0167,-0.05279,0.0106,0.2011,0.08333,315.0,0.838,100.0,7
1,2019-01-02,2019-06-28,2019-07-01,2019-12-31,0.9472,1.0827,-0.03808,0.1285,3.3757,0.01172,44.3,0.5287,100.0,123
2,2019-01-02,2019-12-31,2020-01-02,2020-06-30,-0.7058,-0.7076,-0.07131,-0.0069,-0.0961,0.08403,317.64,0.5045,100.0,123
3,2019-01-02,2020-06-30,2020-07-01,2020-12-31,0.0764,0.0867,-0.05396,0.0539,0.9995,0.07033,265.86,0.5358,100.0,123
4,2019-01-02,2020-12-31,2021-01-04,2021-06-30,1.2673,2.0417,-0.02402,0.1315,5.4745,0.0121,45.73,0.4693,100.0,123
5,2019-01-02,2021-06-30,2021-07-01,2021-12-31,-0.0707,-0.1214,-0.02805,0.0473,1.6876,0.01172,44.31,0.6819,100.0,123
6,2019-01-02,2021-12-31,2022-01-03,2022-06-30,-2.663,-3.8826,-0.07488,-0.1239,-1.6542,0.02421,91.53,0.8525,100.0,123
7,2019-01-02,2022-06-30,2022-07-01,2022-12-30,-0.6391,-1.0807,-0.06164,0.0091,0.1474,0.07065,267.07,0.1477,100.0,123
8,2019-01-02,2022-12-30,2023-01-03,2023-06-30,-1.1563,-1.5256,-0.05979,-0.0211,-0.3535,0.0484,182.95,0.5104,100.0,123
9,2019-01-02,2023-06-30,2023-07-03,2023-12-29,-1.612,-2.0074,-0.05066,-0.0363,-0.7173,0.14284,539.92,0.4984,100.0,123
1,2019-01-02,2019-06-28,2019-07-01,2019-12-31,1.4772,2.2964,-0.02585,0.1315,5.086,0.01172,44.3,0.6928,100.0,99
2,2019-01-02,2019-12-31,2020-01-02,2020-06-30,-0.8367,-0.8305,-0.08681,-0.0087,-0.1007,0.05998,226.73,0.5871,100.0,99
3,2019-01-02,2020-06-30,2020-07-01,2020-12-31,-0.0052,-0.006,-0.04801,0.0456,0.9495,0.09379,354.51,0.4185,100.0,99
4,2019-01-02,2020-12-31,2021-01-04,2021-06-30,1.9688,2.8092,-0.03084,0.2764,8.9618,0.0121,45.73,0.6957,100.0,99
5,2019-01-02,2021-06-30,2021-07-01,2021-12-31,0.3326,0.4959,-0.03523,0.0679,1.9283,0.01172,44.3,0.5862,100.0,99
6,2019-01-02,2021-12-31,2022-01-03,2022-06-30,-2.2369,-3.1827,-0.0805,-0.13,-1.6154,0.02419,91.45,0.1652,100.0,99
7,2019-01-02,2022-06-30,2022-07-01,2022-12-30,-0.9941,-1.5137,-0.06186,-0.001,-0.0154,0.07067,267.12,0.4956,100.0,99
8,2019-01-02,2022-12-30,2023-01-03,2023-06-30,0.4819,0.9775,-0.0324,0.0708,2.1869,0.01211,45.78,0.4806,100.0,99
9,2019-01-02,2023-06-30,2023-07-03,2023-12-29,-1.2237,-1.7185,-0.05546,-0.0031,-0.0553,0.05952,225.0,0.3969,100.0,99
1,2019-01-02,2019-06-28,2019-07-01,2019-12-31,1.0559,1.3256,-0.02938,0.1216,4.1406,0.01172,44.3,0.6005,100.0,555
2,2019-01-02,2019-12-31,2020-01-02,2020-06-30,-0.6608,-0.693,-0.08104,0.0074,0.0909,0.06003,226.9,0.2155,100.0,555
3,2019-01-02,2020-06-30,2020-07-01,2020-12-31,0.0788,0.0873,-0.05343,0.0516,0.9656,0.0703,265.73,0.1105,100.0,555
4,2019-01-02,2020-12-31,2021-01-04,2021-06-30,0.8963,1.3364,-0.0313,0.124,3.9638,0.0121,45.73,0.4015,100.0,555
5,2019-01-02,2021-06-30,2021-07-01,2021-12-31,-0.2984,-0.4961,-0.03339,0.0311,0.9316,0.01172,44.3,0.6148,100.0,555
6,2019-01-02,2021-12-31,2022-01-03,2022-06-30,-4.6617,-6.2436,-0.08273,-0.1595,-1.9283,0.07258,274.35,0.0436,100.0,555
7,2019-01-02,2022-06-30,2022-07-01,2022-12-30,-1.2829,-1.7394,-0.05606,-0.0174,-0.3098,0.11705,442.45,0.516,100.0,555
8,2019-01-02,2022-12-30,2023-01-03,2023-06-30,-2.0616,-3.0703,-0.06575,-0.062,-0.9433,0.09672,365.59,0.0555,100.0,555
9,2019-01-02,2023-06-30,2023-07-03,2023-12-29,-2.0541,-3.2312,-0.04948,-0.0427,-0.8624,0.16672,630.21,0.6032,100.0,555
